Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date â–¼	Qualified Dividend?	Payout Type	Frequency
$1.5000	2015-07-30	2015-08-13	2015-08-17	2015-09-28	Unknown	Regular	Quarter
$1.5000	2015-05-05	2015-05-15	2015-05-19	2015-06-30	Unknown	Regular	Quarter
$1.5000	2015-02-20	2015-03-05	2015-03-09	2015-04-22	Unknown	Regular	Quarter
$1.5000	2014-10-31	2014-11-13	2014-11-17	2014-12-24	Unknown	Regular	Quarter
$1.5000	2014-07-31	2014-08-14	2014-08-18	2014-09-25	Unknown	Regular	Quarter
$1.5000	2014-05-05	2014-05-15	2014-05-19	2014-06-30	Unknown	Regular	Quarter
$1.5000	2014-02-25	2014-03-11	2014-03-13	2014-04-22	Unknown	Regular	Quarter
$1.2500	2013-11-01	2013-11-12	2013-11-14	2014-01-13	Unknown	Regular	Quarter
$1.2500	2013-08-06	2013-08-14	2013-08-16	2013-10-09	Unknown	Regular	Quarter
$1.0000	2013-04-30	2013-05-09	2013-05-13	2013-07-05	Unknown	Regular	Quarter
$1.0000	2013-02-11	2013-02-19	2013-02-21	2013-04-15	Unknown	Regular	Quarter
$0.1000	2012-11-05	2012-11-13	2012-11-15	2012-11-30	Unknown	Regular	Quarter
$0.1000	2012-08-03	2012-08-14	2012-08-16	2012-08-31	Unknown	Regular	Quarter
$0.1000	2012-04-30	2012-05-14	2012-05-16	2012-05-31	Unknown	Regular	Quarter
$0.1000	2012-03-05	2012-03-13	2012-03-15	2012-03-30	Non-Qualified	Regular	Quarter
$0.1000	2011-11-01	2011-11-16	2011-11-18	2011-12-01	Non-Qualified	Regular	Quarter
$0.1000	2011-08-08	2011-08-17	2011-08-19	2011-09-01	Non-Qualified	Regular	Quarter
$0.5000	2011-05-04	2011-05-12	2011-05-16	2011-05-31	Non-Qualified	Regular	Quarter
$0.2500	2011-03-04	2011-03-11	2011-03-15	2011-03-30	Non-Qualified	Regular	Quarter
$0.2500	2010-11-03	2010-11-17	2010-11-19	2010-12-02	Non-Qualified	Regular	Quarter
$0.2500	2010-08-02	2010-08-18	2010-08-20	2010-09-02	Non-Qualified	Regular	Quarter
$0.2500	2010-05-05	2010-05-18	2010-05-20	2010-06-03	Non-Qualified	Regular	Quarter
$0.2500	2010-03-02	2010-03-11	2010-03-15	2010-03-30	Non-Qualified	Regular	Quarter
$0.2500	2009-11-03	2009-11-18	2009-11-22	2009-12-03	Non-Qualified	Regular	Quarter
$0.2500	2009-08-05	2009-08-18	2009-08-20	2009-08-31	Non-Qualified	Regular	Quarter
$0.2500	2009-05-06	2009-05-20	2009-05-22	2009-06-03	Non-Qualified	Regular	Quarter
$0.2500	2009-03-02	2009-03-12	2009-03-16	2009-03-30	Non-Qualified	Regular	Quarter
$0.2500	2008-11-05	2008-11-18	2008-11-20	2008-12-03	Non-Qualified	Regular	Quarter
$0.2500	2008-08-11	2008-08-20	2008-08-22	2008-09-05	Non-Qualified	Regular	Quarter
$0.2500	2008-05-08	2008-05-20	2008-05-22	2008-06-06	Non-Qualified	Regular	Quarter
$0.2500	2008-03-04	2008-03-14	2008-03-18	2008-04-01	Non-Qualified	Regular	Quarter
$0.1500	2007-11-09	2007-11-15	2007-11-19	2007-12-03	Non-Qualified	Regular	Quarter
$0.1500	2007-08-07	2007-08-23	2007-08-27	2007-09-07	Non-Qualified	Regular	Quarter
$0.1500	2007-05-09	2007-05-18	2007-05-22	2007-06-01	Non-Qualified	Regular	Quarter
$0.1000	2007-03-02	2007-03-12	2007-03-14	2007-03-29	Non-Qualified	Regular	Quarter
$0.1000	2006-11-15	2006-11-22	2006-11-27	2006-12-07	Unknown	Regular	Quarter
$0.1000	2006-08-09	2006-08-17	2006-08-21	2006-09-05	Unknown	Regular	Quarter
$0.1000	2006-05-11	2006-05-18	2006-05-22	2006-06-01	Unknown	Regular	Quarter
$0.1000	2006-03-15	2006-03-23	2006-03-27	2006-04-07	Unknown	Regular	Quarter
$0.1000	2005-11-09	2005-11-23	2005-11-28	2005-12-12	Unknown	Regular	Quarter
$0.1000	2005-08-08	2005-08-25	2005-08-29	2005-09-19	Unknown	Regular	Quarter
$0.0000		1995-02-28	1995-02-24		Unknown	Regular	Quarter
$0.1250	1993-12-14	1993-12-27	1993-12-31	1994-02-14	Unknown	Regular	Quarter
$0.1250	1993-09-14	1993-09-24	1993-09-30	1993-11-12	Unknown	Regular	Quarter
$0.1250	1993-06-16	1993-06-24	1993-06-30	1993-08-13	Unknown	Regular	Quarter
$0.1250	1993-03-19	1993-03-25	1993-03-31	1993-05-14	Unknown	Regular	Quarter
$0.2500	1992-12-21	1992-12-24	1992-12-31	1993-02-12	Unknown	Regular	Quarter