Date,Open,High,Low,Close,Volume,Adj Close
2015-09-08,7.64,7.93,7.22,7.62,171800,7.62
2015-09-04,7.546,7.75,7.546,7.75,14800,7.75
2015-09-03,7.74,7.93,7.217,7.56,56000,7.56
2015-09-02,8.39,8.39,7.71,7.74,12800,7.74
2015-09-01,8.65,8.89,7.94,8.42,42000,8.42
2015-08-31,8.79,9.43,8.40,8.96,80200,8.96
2015-08-28,7.99,9.118,7.70,8.80,199200,8.80
2015-08-27,7.08,8.096,6.89,7.91,120700,7.91
2015-08-26,7.13,7.155,6.86,7.00,23100,7.00
2015-08-25,7.28,7.28,6.91,7.00,34200,7.00
2015-08-24,7.50,7.50,6.90,7.00,38100,7.00
2015-08-21,8.05,8.20,7.73,7.76,44500,7.76
2015-08-20,8.05,8.05,7.83,7.95,27900,7.95
2015-08-19,7.71,8.09,7.70,7.95,47800,7.95
2015-08-18,8.87,8.87,7.94,8.00,117000,8.00
2015-08-17,8.90,9.10,8.75,8.75,21300,8.75
2015-08-14,8.51,8.85,8.51,8.73,45300,8.73
2015-08-13,9.11,9.254,8.54,9.20,83100,9.20
2015-08-12,8.56,9.29,7.54,9.29,63100,9.29
2015-08-11,8.99,9.01,7.023,8.52,434000,8.52
2015-08-10,9.54,9.76,9.30,9.44,46400,9.44
2015-08-07,10.15,10.21,9.53,9.53,26000,9.53
2015-08-06,11.12,11.12,10.04,10.13,42300,10.13
2015-08-05,11.33,11.33,10.572,10.64,23900,10.64
2015-08-04,11.33,11.45,11.145,11.45,16900,11.125
2015-08-03,12.03,12.03,11.00,11.25,64100,10.930677
2015-07-31,12.03,12.20,11.90,12.01,20600,11.669105
2015-07-30,11.20,11.81,11.20,11.81,41500,11.474782
2015-07-29,10.94,11.30,10.75,11.08,83800,10.765502
2015-07-28,11.36,11.36,10.67,10.75,123300,10.444869
2015-07-27,11.36,11.36,11.07,11.08,26900,10.765502
2015-07-24,11.70,11.70,11.11,11.25,22500,10.930677
2015-07-23,12.00,12.37,11.66,11.72,26400,11.387337
2015-07-22,12.02,12.24,11.81,11.85,21100,11.513647
2015-07-21,12.137,12.137,11.50,12.02,36800,11.678822
2015-07-20,12.27,12.69,11.53,12.13,27300,11.785699
2015-07-17,13.20,13.20,12.51,12.51,28700,12.154913
2015-07-16,13.02,13.47,13.02,13.25,14200,12.873908
2015-07-15,13.01,13.55,12.96,13.04,37000,12.669869
2015-07-14,13.096,13.55,12.96,12.96,31600,12.59214
2015-07-13,13.02,13.26,12.92,12.92,32400,12.553275
2015-07-10,12.89,13.07,12.76,12.97,14300,12.601856
2015-07-09,13.13,13.13,12.76,12.86,50500,12.494978
2015-07-08,12.88,13.40,12.75,12.75,31600,12.388101
2015-07-07,13.09,13.44,12.56,12.858,27100,12.493035
2015-07-06,13.18,13.55,13.00,13.08,38100,12.708734
2015-07-02,13.29,13.94,13.16,13.59,27300,13.204258
2015-07-01,13.07,13.31,13.00,13.25,30700,12.873908
2015-06-30,13.11,13.38,13.00,13.00,18900,12.631005
2015-06-29,13.27,13.67,13.01,13.19,26200,12.815611
2015-06-26,13.50,13.85,13.50,13.50,32500,13.116812
2015-06-25,13.90,14.15,13.51,13.51,23500,13.126529
2015-06-24,14.24,14.42,13.90,13.95,33200,13.554039
2015-06-23,14.19,14.60,13.56,14.18,53000,13.777511
2015-06-22,14.03,14.47,13.64,14.11,28300,13.709498
2015-06-19,13.93,14.09,13.55,13.90,19100,13.505458
2015-06-18,14.25,14.34,13.95,14.00,11400,13.60262
2015-06-17,14.27,14.60,14.12,14.29,40100,13.884389
2015-06-16,14.07,14.45,14.07,14.34,23400,13.93297
2015-06-15,14.00,14.28,13.95,14.11,36300,13.709498
2015-06-12,14.42,14.57,14.00,14.10,40800,13.699782
2015-06-11,14.61,14.76,14.21,14.26,21300,13.855241
2015-06-10,14.225,14.78,14.14,14.61,37000,14.195306
2015-06-09,14.10,14.63,13.92,14.32,45200,13.913537
2015-06-08,14.25,14.72,13.88,14.00,35000,13.60262
2015-06-05,14.23,14.58,14.03,14.30,28900,13.894105
2015-06-04,14.93,15.00,14.02,14.21,100000,13.80666
2015-06-03,14.78,15.00,14.445,14.83,66000,14.409061
2015-06-02,14.14,14.87,13.91,14.71,54900,14.292467
2015-06-01,13.63,14.29,13.525,13.98,80100,13.583187
2015-05-29,13.60,13.82,13.50,13.57,17700,13.184825
2015-05-28,13.12,13.711,13.12,13.51,29300,13.126529
2015-05-27,13.29,13.63,13.11,13.50,22200,13.116812
2015-05-26,13.52,13.675,13.10,13.20,22700,12.825327
2015-05-22,13.87,14.148,13.58,13.67,44200,13.281987
2015-05-21,13.87,14.37,13.52,13.65,47800,13.262554
2015-05-20,13.42,13.87,13.39,13.75,37000,13.359716
2015-05-19,13.83,14.459,13.26,13.26,74900,12.883625
2015-05-18,13.58,14.37,13.44,13.83,96900,13.437445
2015-05-15,13.39,13.65,13.03,13.34,52000,12.961354
2015-05-14,13.58,13.65,13.00,13.35,70900,12.97107
2015-05-13,12.91,13.75,12.91,13.54,151500,13.155677
2015-05-12,13.30,13.37,12.56,12.73,38000,12.368668
2015-05-11,13.52,13.52,13.20,13.20,18300,12.825327
2015-05-08,13.10,13.43,13.02,13.43,9300,13.0488
2015-05-07,12.90,13.48,12.90,13.39,30900,13.009935
2015-05-06,12.62,13.08,12.45,13.08,85900,12.708734
2015-05-05,13.304,13.304,12.80,12.80,47800,12.436682
2015-05-04,13.51,13.77,13.08,13.30,21800,12.606714
2015-05-01,13.79,13.79,13.25,13.30,25800,12.606714
2015-04-30,13.34,13.94,13.30,13.70,88400,12.985863
2015-04-29,12.94,13.35,12.76,13.18,38100,12.49297
2015-04-28,13.15,13.68,12.64,12.88,36600,12.208607
2015-04-27,13.32,13.63,13.00,13.13,24800,12.445576
2015-04-24,13.207,13.57,12.91,13.20,25100,12.511927
2015-04-23,12.84,13.40,12.84,13.40,63200,12.701501
2015-04-22,13.12,13.26,12.871,13.00,35200,12.322352
2015-04-21,13.86,14.05,12.98,12.99,65000,12.312873
2015-04-20,13.70,13.99,13.63,13.77,53100,13.052215
2015-04-17,13.88,13.88,13.51,13.63,20600,12.919512
2015-04-16,13.75,14.298,13.56,13.57,74300,12.86264
2015-04-15,13.50,14.00,13.50,13.60,49900,12.891076
2015-04-14,13.50,13.50,13.262,13.47,12100,12.767853
2015-04-13,13.29,13.54,12.98,13.38,21000,12.682544
2015-04-10,13.50,13.85,12.85,13.25,62100,12.55932
2015-04-09,12.34,13.37,12.34,13.06,31000,12.379225
2015-04-08,11.99,12.52,11.72,12.49,40200,11.838936
2015-04-07,12.17,12.17,11.86,11.91,45600,11.28917
2015-04-06,11.51,12.18,11.51,12.15,54500,11.516659
2015-04-02,11.08,11.75,11.08,11.49,89800,10.891063
2015-04-01,11.12,11.31,10.75,11.06,80600,10.483478
2015-03-31,11.00,11.171,10.86,11.14,85000,10.559308
2015-03-30,11.34,11.34,10.90,10.93,23000,10.360255
2015-03-27,11.15,11.30,10.75,11.09,56800,10.511914
2015-03-26,11.41,11.64,11.02,11.10,36400,10.521393
2015-03-25,11.73,11.73,11.25,11.37,27200,10.777319
2015-03-24,11.25,11.96,11.09,11.28,116200,10.69201
2015-03-23,11.84,11.84,11.15,11.22,123300,10.635138
2015-03-20,12.41,12.65,11.37,11.66,179300,11.052202
2015-03-19,11.99,12.44,11.905,12.21,42000,11.573532
2015-03-18,11.69,11.97,11.60,11.88,35100,11.260734
2015-03-17,11.55,11.92,11.46,11.76,36500,11.146989
2015-03-16,12.63,13.16,11.08,11.55,80100,10.947936
2015-03-13,12.85,13.26,12.83,12.93,22000,12.256001
2015-03-12,13.63,13.99,12.64,12.98,50500,12.303394
2015-03-11,13.64,14.00,13.50,13.97,17000,13.241789
2015-03-10,14.09,14.32,13.35,13.67,52200,12.957427
2015-03-09,14.85,15.11,14.20,14.35,90600,13.601981
2015-03-06,14.85,15.10,14.71,14.80,109000,14.028524
2015-03-05,14.72,14.92,14.64,14.85,36700,14.075918
2015-03-04,15.01,15.12,14.57,14.80,136900,14.028524
2015-03-03,14.95,15.15,14.76,15.15,154200,14.360279
2015-03-02,14.50,14.92,14.50,14.75,106600,13.98113
2015-02-27,14.864,14.99,14.53,14.53,28700,13.772598
2015-02-26,14.97,15.00,14.80,15.00,26700,14.218099
2015-02-25,15.18,15.18,14.73,14.94,25200,14.161226
2015-02-24,14.39,15.34,14.386,15.06,40600,14.274971
2015-02-23,14.22,14.47,14.15,14.40,21600,13.649374
2015-02-20,14.20,14.39,14.168,14.23,64200,13.488236
2015-02-19,14.20,14.45,14.03,14.20,52300,13.4598
2015-02-18,14.58,14.65,14.00,14.34,109500,13.592502
2015-02-17,14.62,14.99,14.32,14.76,24400,13.990609
2015-02-13,15.44,15.52,14.51,14.52,27300,13.76312
2015-02-12,15.17,15.51,15.166,15.33,37600,14.530897
2015-02-11,14.32,15.38,14.32,15.03,107200,14.246534
2015-02-10,14.50,14.99,14.20,14.61,29300,13.848428
2015-02-09,15.52,15.52,14.40,14.40,103100,13.649374
2015-02-06,13.69,15.40,13.58,15.40,145900,14.597247
2015-02-05,13.50,13.922,13.27,13.46,50700,12.758374
2015-02-04,14.13,14.35,13.49,13.49,68100,12.78681
2015-02-03,13.38,14.97,13.05,14.65,60200,13.598189
2015-02-02,12.54,13.37,12.50,13.37,47800,12.410088
2015-01-30,12.88,12.95,12.38,12.38,52700,11.491166
2015-01-29,12.94,13.09,12.26,12.50,86500,11.602551
2015-01-28,12.57,13.13,12.57,13.07,43100,12.131627
2015-01-27,12.84,13.15,12.68,12.86,19700,11.936704
2015-01-26,13.00,13.14,12.04,12.99,56500,12.057371
2015-01-23,13.00,13.101,12.77,13.09,46600,12.150191
2015-01-22,13.00,13.09,12.82,13.00,24500,12.066653
2015-01-21,13.10,13.30,12.94,12.97,31800,12.038807
2015-01-20,12.90,13.20,12.77,13.20,19400,12.252293
2015-01-16,12.40,13.145,12.35,13.09,54100,12.150191
2015-01-15,13.44,13.44,12.37,12.40,61400,11.50973
2015-01-14,12.79,13.24,12.64,13.16,47400,12.215165
2015-01-13,13.17,14.00,12.55,12.87,89000,11.945986
2015-01-12,13.60,13.80,12.73,13.09,80100,12.150191
2015-01-09,12.96,13.81,12.75,13.57,77600,12.595729
2015-01-08,12.99,13.30,12.80,12.94,42000,12.01096
2015-01-07,13.36,13.36,12.80,12.80,41500,11.881012
2015-01-06,12.95,13.59,12.81,13.28,453400,12.32655
2015-01-05,13.22,13.41,12.50,13.02,161500,12.085217
2015-01-02,12.35,13.29,12.12,13.29,115200,12.335832
2014-12-31,12.54,12.63,12.08,12.23,195300,11.351935
2014-12-30,12.72,12.94,12.53,12.72,123700,11.806756
2014-12-29,12.68,13.16,12.65,12.87,428800,11.945986
2014-12-26,12.65,13.12,12.20,12.73,378100,11.816037
2014-12-24,12.23,12.57,11.91,12.46,167100,11.565423
2014-12-23,11.18,12.47,11.01,12.26,506900,11.379782
2014-12-22,12.00,12.73,10.55,11.06,209900,10.265937
2014-12-19,11.99,12.27,11.43,11.78,247300,10.934244
2014-12-18,12.25,12.40,11.62,11.84,146900,10.989936
2014-12-17,11.00,12.54,11.00,12.15,166700,11.277679
2014-12-16,11.82,12.25,11.13,11.69,168500,10.850705
2014-12-15,12.99,13.15,11.77,12.01,155400,11.147731
2014-12-12,13.22,13.51,12.67,12.78,102300,11.862448
2014-12-11,13.50,14.35,13.34,13.55,73300,12.577165
2014-12-10,13.60,14.10,12.99,13.53,193900,12.558601
2014-12-09,13.10,13.64,12.70,13.50,124700,12.530755
2014-12-08,14.00,14.19,12.865,13.68,83800,12.697832
2014-12-05,14.17,14.635,13.90,13.99,69200,12.985575
2014-12-04,14.35,14.71,13.74,14.24,64500,13.217626
2014-12-03,14.35,14.71,14.068,14.51,110100,13.468241
2014-12-02,13.35,14.84,13.33,14.25,56200,13.226908
2014-12-01,14.66,14.66,13.122,13.26,63000,12.307986
2014-11-28,15.90,15.95,14.60,14.60,87700,13.55178
2014-11-26,16.690001,16.754999,16.190001,16.209999,124500,15.046187
2014-11-25,16.52,16.75,16.52,16.65,68000,15.454597
2014-11-24,16.76,17.00,16.51,16.639999,178600,15.445315
2014-11-21,17.32,17.32,16.60,16.76,103400,15.5567
2014-11-20,17.110001,17.700001,16.950001,17.200001,162000,15.965111
2014-11-19,17.34,17.743,17.190001,17.190001,57800,15.955828
2014-11-18,17.139999,18.34,17.139999,17.48,167400,16.225007
2014-11-17,17.190001,17.65,17.156,17.35,61000,16.104341
2014-11-14,16.667,17.549999,16.52,17.309999,98300,16.067212
2014-11-13,17.99,18.327999,16.610001,16.700001,184800,15.501009
2014-11-12,17.870001,17.99,17.610001,17.85,98500,16.568443
2014-11-11,17.370001,17.912001,17.240999,17.879999,67400,16.596288
2014-11-10,17.35,17.639999,17.209999,17.459999,78700,16.206442
2014-11-07,17.52,17.77,16.969999,17.299999,59700,16.05793
2014-11-06,16.58,17.50,16.299999,17.35,132200,16.104341
2014-11-05,16.25,16.705999,16.10,16.65,162200,15.454597
2014-11-04,17.00,17.25,15.84,16.35,64200,15.176137
2014-11-03,16.98,17.08,16.834999,17.02,33400,15.798034
2014-10-31,17.190001,17.59,16.15,16.91,333800,15.695931
2014-10-30,17.129999,17.215,16.120001,17.00,365700,15.779469
2014-10-29,16.889999,17.50,16.889999,17.049999,149800,15.825879
2014-10-28,16.60,17.99,16.60,17.18,202500,15.946546
2014-10-27,16.219999,16.60,16.18,16.549999,88700,15.361776
2014-10-24,15.88,16.610001,15.88,16.610001,58200,15.41747
2014-10-23,16.02,16.360001,15.60,15.99,367000,14.841983
2014-10-22,16.030001,16.25,15.90,16.00,197000,14.851265
2014-10-21,15.90,16.860001,15.60,16.15,158500,14.990495
2014-10-20,15.51,16.198,15.51,15.90,74100,14.758444
2014-10-17,16.879999,17.309999,15.54,15.70,519100,14.572804
2014-10-16,15.85,16.68,15.85,16.530001,94200,15.343214
2014-10-15,15.81,16.775,15.81,16.10,95700,14.944086
2014-10-14,16.10,17.32,15.17,16.700001,717300,15.501009
2014-10-13,16.870001,17.190001,16.139999,16.15,178900,14.990495
2014-10-10,18.01,18.09,16.586,16.950001,515100,15.73306
2014-10-09,18.50,18.67,18.07,18.139999,214600,16.837621
2014-10-08,19.299999,19.417,18.42,18.610001,552700,17.273878
2014-10-07,19.23,19.34,19.01,19.299999,136100,17.914338
2014-10-06,19.68,19.68,19.309999,19.43,129400,18.035005
2014-10-03,19.110001,19.59,19.02,19.50,635300,18.099979
2014-10-02,20.50,20.709999,19.00,19.110001,9316800,17.73798
